Geografi,diagnose,Koen2,Alderfem2,fk_aar,vaerdi
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1991,24.423
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1992,25.125
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1993,24.956
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1994,25.496
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1995,25.091
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1996,25.452
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1997,26.149
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1998,27.076
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,1999,27.431
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2000,27.678
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2001,28.136
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2002,28.709
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2003,29.379
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2004,31.521
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2005,32.543
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2006,34.024
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2007,34.621
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2008,36.936
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2009,38.542
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2010,37.891
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2011,38.878
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2012,39.202
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2013,39.726
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2014,41.785
Hele landet,Alle kræfttilfælde,Begge køn,Alle aldre,2015,42.233
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1991,541
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1992,546
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1993,565
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1994,642
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1995,590
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1996,650
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1997,601
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1998,669
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,1999,634
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2000,710
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2001,659
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2002,687
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2003,744
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2004,684
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2005,695
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2006,808
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2007,789
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2008,870
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2009,863
Hele landet,010 Mundhule og svælg,Begge køn,Alle aldre,2010,906
